elevation,slope,aspect,curvature,TWI,SPI,TRI,TPI,convergence,NDVI,LULC,rainfall,dist_river,stream_density,dist_roads,LS_factor,lithology,flood
713,3.2118607,30.071114,178.0,9.77042037386766,56.11633678711844,19.792129624216148,-25.432000000000016,90.8170063439894,-0.21808815,80,2306.21667642612,0.0,0,30.0,1.3357408756538431,1,1
587,14.133578,116.74414,223.0,8.282889119903162,251.80575778487884,27.324298416439014,-34.83999999999992,91.12977068153002,-0.13856427,80,2470.53898024559,30.0,0,30.0,63473.96527086294,1,1
609,35.159874,139.32324,-29.0,7.256782274890715,704.374087798534,31.569245856539105,0.4799999999999045,68.22393986479283,0.3757178,10,2461.7261468172073,60.0,0,0.0,25.85491274184661,1,1
718,3.7432933,171.76369,85.0,9.619423417851037,65.42590660563128,11.795584024079215,-19.935999999999922,88.8238708362258,-0.16080178,80,2306.21667642612,0.0,0,30.0,25.807849958728415,1,1
709,13.559622,212.96645,150.0,8.325830920598547,241.17960913136332,24.917642121374342,-20.807999999999993,77.34993400031928,0.13185433,80,2306.21667642612,30.0,0,30.0,73.41332678778524,1,1
638,22.28115,106.05429,218.0,7.797536453880359,409.7456243719616,21.591036091539635,-33.912000000000035,98.42226412077254,-0.12599206,10,2115.462429508567,84.8528137423857,0,0.0,8.735229092843161,1,1
699,4.2495694,130.81091,121.0,9.493960304285139,74.305280136275,12.53538202326171,-20.663999999999987,94.3324641812006,-0.12832057,30,2342.405929327011,0.0,0,30.0,103.87606577178308,1,1
1222,22.684519,170.94994,105.0,7.77765963879213,417.9916197695582,41.593268686170845,-21.687999999999874,103.44007714576914,0.6181597,10,2914.0434357970953,42.42640687119285,0,0.0,33.075050784215385,2,1
589,10.819096,312.66003,69.0,8.55746516320602,191.1056334119765,12.944325225965066,-15.408000000000015,80.78057428528925,-0.12566261,80,2470.53898024559,67.0820393249937,0,30.0,395.73356217938203,1,1
767,10.212265,148.61047,93.0,8.61618843696316,180.14940286899815,14.922019523732928,-15.128000000000043,71.67622697283562,0.6768894,10,2140.1496731489897,30.0,0,30.0,42.30247058125575,1,1
581,15.894361,235.3551,233.0,8.160389467079654,284.75108248297227,31.124996901185018,-32.04000000000008,90.00072762888921,-0.22768496,80,2387.4815890341997,30.0,0,0.0,4.810282575639628,1,1
901,12.981483,77.83888,129.0,8.370810533273659,230.52781666561063,19.02045682358281,-17.895999999999958,75.14728989087719,0.07657993,80,2636.206805050373,30.0,0,30.0,14.501838567558368,1,1
606,28.941717,314.63345,112.0,7.498381935334128,552.9800208393737,32.462323840658414,-21.168000000000006,78.66299972424501,-0.11792702,80,2470.53898024559,30.0,0,0.0,30.86695798594646,1,1
616,32.160213,121.85559,51.0,7.370165015433818,628.7642497019655,31.31914572412359,-11.58400000000006,83.42595427239117,0.05240913,80,2470.53898024559,30.0,0,0.0,37.80360704561185,1,1
712,3.349379,73.94269,20.0,9.729124701020966,58.52437288185539,3.046957600185789,-5.327999999999861,88.8189331804007,-0.023731766,60,2306.21667642612,0.0,0,67.0820393249937,5.560546644684488,1,1
596,6.70842,61.20424,200.0,9.03956871641874,117.62198513831898,18.292547224228,-31.463999999999942,95.89490095458167,-0.12099934,80,2407.266181245446,123.69316876852982,0,30.0,15.023367362444258,1,1
